,gene_names,Control_Gut_1,Control_Gut_2,Control_Gut_3,Control_Gut_4,Pseudomonas_Gut_1,Pseudomonas_Gut_2,Pseudomonas_Gut_3,Pseudomonas_Gut_4,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3,Control_Carcass_4,Pseudomonas_Carcass_1,Pseudomonas_Carcass_2,Pseudomonas_Carcass_3,Pseudomonas_Carcass_4
1,LOC101893504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,LOC101887261,9,10,11,10,7,11,9,9,19,16,20,18,19,16,17,16
3,LOC101887540,55,5,4,32,77,37,13,29,3,3,1,4,5,9,1,1
4,LOC101887709,18,7,8,29,33,26,8,24,3,4,1,5,3,14,6,5
5,LOC101887872,4,1,2,3,2,2,2,4,1,2,0,0,1,11,1,2
6,LOC101888043,21,5,7,27,43,13,9,20,0,0,1,0,0,1,0,0
7,LOC105261620,23605,13692,14181,16361,23387,25764,16042,18960,11,14,6,110,13,349,2,179
8,LOC101888225,3982,2045,2548,2926,3794,4695,2645,3876,1,4,0,14,1,28,0,25
9,LOC105261733,0,0,0,0,0,0,0,0,333,628,538,641,517,30,560,396
10,LOC105261775,84,18,20,64,60,118,33,110,0,1,0,1,0,0,0,0
11,LOC101888392,91,58,73,72,82,80,63,80,58,66,68,66,60,52,63,50
12,LOC101888800,125,113,111,102,119,121,114,133,108,113,118,112,98,114,100,136
13,LOC101889098,14,15,18,18,15,17,14,15,26,30,31,34,31,24,34,22
14,LOC101889449,6,6,7,6,6,6,5,6,9,11,13,13,12,10,12,8
15,LOC101889275,2,7,3,5,1,3,4,3,11,16,12,14,10,8,10,12
16,LOC101889730,13,14,17,15,16,13,12,15,14,17,16,17,16,10,16,18
17,LOC101889900,4,7,9,8,4,6,6,5,8,4,4,4,7,3,5,10
18,LOC101893671,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
19,LOC101893836,1,1,1,1,0,0,0,0,2,1,3,2,3,3,4,1
20,LOC101894009,5,7,8,8,4,6,9,5,7,5,5,6,8,4,5,8
21,LOC101890067,5,7,7,6,4,5,6,7,9,10,9,10,9,8,8,12
22,LOC101894185,5,6,8,6,4,7,8,6,7,6,4,5,9,3,5,12
23,LOC101890226,1,5,4,3,1,2,2,1,14,16,14,22,19,27,22,14
24,LOC101890517,4,13,19,17,5,12,20,9,16,6,5,8,16,5,7,24
25,LOC101890689,2,5,7,5,1,3,5,3,7,4,4,4,4,3,5,9
26,LOC101890862,0,3,4,3,0,1,2,1,14,18,16,17,17,12,16,12
27,LOC101891383,5,5,8,6,4,4,6,4,6,6,7,6,6,4,5,6
28,LOC101891561,41,55,45,57,38,46,41,47,53,47,52,47,45,53,41,66
29,LOC101892023,7,19,20,18,7,15,13,10,32,41,39,31,40,28,37,38
30,LOC101891733,63,108,54,77,67,68,51,55,208,287,237,231,184,172,213,166
31,LOCNULL,27090,42063,56984,55828,33836,49424,45448,32413,62376,41574,46179,43939,60142,56344,48706,58967
32,LOC101892196,43,86,184,111,27,71,100,65,89,29,24,25,50,24,22,278
33,LOC101892705,19,20,21,19,18,20,17,18,24,30,30,31,32,22,29,18
34,LOC101894518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,LOC109613008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
