,high constitutive AMPs,, other AMPs,,
TFBS,TFBS present,TFBS absent,TFBS present,TFBS absent,Bayes factor
E2F[T01547],0,4,31,10,32.6043956
Sp1[T00755],3,1,7,34,7.770714286
ATF[T00051],3,1,7,34,7.770714286
CREB[T00163],3,1,7,34,7.770714286
47-kDaCREbind.prot.[T00442],3,1,7,34,7.770714286
ATF-2[T00167],3,1,7,34,7.770714286
ATF3[T01313],4,0,16,25,6.73622291
c-Myc[T00140],2,2,2,39,6.633536585
CREB[T00164],3,1,8,33,5.817647059
NF-kappaB1[T00593],0,4,24,17,5.453132832
HNF-4alpha[T05287],4,0,19,22,3.685714286
ATF-1[T00968],2,2,4,37,2.936302294
TCF-3[T02857],2,2,37,4,2.936302294
MBP-1(1)[T00497],0,4,20,21,2.58
CREB[T00989],4,0,21,20,2.58
WT1[T00899],1,3,0,41,2.464285714
Sp3[T02338],3,1,12,29,2.390989011
BTEB4[T05053],3,1,12,29,2.390989011
NF-kappaB[T00588],2,2,36,5,2.210729527
SRF[T05114],4,0,23,18,1.85965812
PPAR-gamma:RXR-alpha[T05236],0,4,18,23,1.85965812
GR[T00335],2,2,35,6,1.750160875
PEBP2[T00683],0,4,17,24,1.593992674
NF-AT2[T01947],2,2,7,34,1.439021164
AP-1[T00032],0,4,16,25,1.374131616
CTF[T00174],0,4,16,25,1.374131616
Clock:Bmal1[T05866],1,3,1,40,1.322299652
ER-alpha[T00262],1,3,1,40,1.322299652
GCF[T00320],1,3,1,40,1.322299652
RelA[T00594],2,2,33,8,1.218935574
STAT5A[T04683],2,2,33,8,1.218935574
Nrf2[T01443],1,3,24,17,1.145157895
CREMalpha[T01803],2,2,9,32,1.057754011
POU3F1[T00656],4,0,27,14,1.037247736
CArGbox-bindingprotein[T00078],0,4,14,27,1.037247736
SRF[T00763],0,4,14,27,1.037247736
NERF-1a[T05021],0,4,14,27,1.037247736
Smad3[T04096],3,1,18,23,1.022462406
PXR-1:RXR-alpha[T05671],3,1,18,23,1.022462406
DTF-1[T00201],3,1,18,23,1.022462406
COE1[T01112],3,1,39,2,0.947648084
core-bindingfactor[T01530],1,3,2,39,0.947648084
CRE-BP2[T01017],1,3,2,39,0.947648084
CREBbeta[T02361],1,3,2,39,0.947648084
Sp1[T00753],1,3,2,39,0.947648084
Sp1[T00752],1,3,2,39,0.947648084
HIF-1[T01609],2,2,10,31,0.93655303
PRB[T00697],2,2,31,10,0.93655303
RelA[T00595],2,2,31,10,0.93655303
USF1[T00874],3,1,19,22,0.921428571
PTF1-beta[T00701],1,3,22,19,0.921428571
Smad4[T04292],3,1,19,22,0.921428571
Adf-1[T00008],1,3,22,19,0.921428571
HNF-4alpha2[T02422],3,1,19,22,0.921428571
HNF-4alpha1[T02429],3,1,19,22,0.921428571
En[T00253],3,1,19,22,0.921428571
