,gene_names,Ecoli_Gut_1,Ecoli_Gut_2,Ecoli_Gut_3,Control_Gut_1,Control_Gut_2,Control_Gut_3,Ecoli_Carcass_1,Ecoli_Carcass_2,Ecoli_Carcass_3,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3
1,LOC101893504,0,0,0,0,0,0,0,0,0,0,0,0
2,LOC101887261,5,4,4,6,6,5,10,8,10,9,10,9
3,LOC101887540,34,42,28,38,43,24,11,11,18,1,7,4
4,LOC101887709,15,5,7,16,10,16,9,5,6,2,2,1
5,LOC101887872,1,2,2,3,8,3,0,2,2,1,1,0
6,LOC101888043,16,6,8,30,10,25,0,3,1,1,2,3
7,LOC105261620,50129,61542,48769,43073,56791,46646,1216,1099,85,1463,2231,752
8,LOC101888225,5891,5658,5086,4498,6794,5460,82,43,11,76,145,41
9,LOC105261733,0,0,0,0,0,0,515,326,1043,580,731,340
10,LOC105261775,103,59,51,90,89,69,0,0,0,1,1,1
11,LOC101888392,65,50,59,62,66,71,36,32,31,44,41,38
12,LOC101888800,130,98,121,94,117,124,83,69,76,70,68,79
13,LOC101889098,10,7,10,11,11,10,15,13,12,16,15,15
14,LOC101889449,4,3,3,4,4,3,6,5,5,6,6,6
15,LOC101889275,1,1,1,1,1,2,6,8,5,6,7,6
16,LOC101889730,15,10,12,11,13,12,11,11,9,13,11,10
17,LOC101889900,4,3,3,3,3,4,3,3,3,5,3,4
18,LOC101893671,0,0,0,0,0,0,0,0,0,0,0,0
19,LOC101893836,1,0,0,0,1,1,1,1,1,2,1,1
20,LOC101894009,4,4,4,3,4,4,3,3,3,4,3,3
21,LOC101890067,5,4,5,3,4,4,7,6,6,8,7,8
22,LOC101894185,5,3,4,2,3,3,4,4,4,4,3,4
23,LOC101890226,1,1,1,1,1,1,12,10,9,10,13,10
24,LOC101890517,5,3,4,3,3,3,4,6,4,7,5,7
25,LOC101890689,1,1,1,1,1,1,3,2,3,3,3,3
26,LOC101890862,0,0,0,0,1,0,8,7,7,10,9,8
27,LOC101891383,4,4,4,4,4,4,3,4,3,5,5,4
28,LOC101891561,61,56,51,57,46,56,52,49,37,57,51,48
29,LOC101892023,10,9,9,8,11,10,27,23,23,27,27,29
30,LOC101891733,46,42,48,49,55,46,180,171,178,137,204,182
31,LOCNULL,33652,26410,31235,44900,66502,29808,76652,103516,236351,101194,75983,74069
32,LOC101892196,33,26,34,23,33,35,24,27,27,27,23,33
33,LOC101892705,16,17,17,14,16,15,17,16,12,21,15,16
34,LOC101894518,0,0,0,0,0,0,0,0,0,0,0,0
35,LOC109613008,0,0,0,0,0,0,0,0,0,0,0,0
