,high constitutive Lysozymes,, other Lysozymes,,
TFBS,TFBS present,TFBS absent,TFBS present,TFBS absent,Bayes factor
Dfd,2,0,33,0,0.352941176
HNF-1A,2,0,33,0,0.352941176
HNF-1B,2,0,33,0,0.352941176
DBP,2,0,33,0,0.352941176
Crx,2,0,33,0,0.352941176
Ftz,2,0,33,0,0.352941176
POU4F1(l),2,0,31,2,0.397727273
C/EBPbeta,2,0,33,0,0.352941176
GR,2,0,33,0,0.352941176
PRB,2,0,33,0,0.352941176
PRA,2,0,33,0,0.352941176
TBP,2,0,33,0,0.352941176
Bfactor,2,0,32,1,0.374331551
TFIID,2,0,33,0,0.352941176
HOXD8,2,0,33,0,0.352941176
HNF-3,2,0,33,0,0.352941176
HNF-3beta,2,0,33,0,0.352941176
Eve,2,0,33,0,0.352941176
Cutl1,2,0,33,0,0.352941176
HOXA5,2,0,33,0,0.352941176
POU1F1a,2,0,33,0,0.352941176
C/EBPalpha,2,0,33,0,0.352941176
C/EBPdelta,2,0,33,0,0.352941176
unc-86,2,0,33,0,0.352941176
HNF-1C,2,0,33,0,0.352941176
POU2F1,2,0,33,0,0.352941176
FOXP3,2,0,33,0,0.352941176
XBP-1,2,0,33,0,0.352941176
Cdx-3,2,0,13,20,2
STAT4,2,0,33,0,0.352941176
NF-kappaB,2,0,26,7,0.555555556
RelA,2,0,24,9,0.646153846
c-Ets-1,2,0,33,0,0.352941176
c-Ets-2,2,0,33,0,0.352941176
AP-2alpha,2,0,31,2,0.397727273
HSF1(long),2,0,32,1,0.374331551
HSF1(short),2,0,32,1,0.374331551
AP-2alphaA,2,0,33,0,0.352941176
MF3,2,0,33,0,0.352941176
CP2,2,0,33,0,0.352941176
NF-1,2,0,33,0,0.352941176
AP-2,2,0,23,10,0.7
Nrf2:MafK,2,0,33,0,0.352941176
NF-X3,2,0,32,1,0.374331551
TGGCA-bindingprotein,2,0,33,0,0.352941176
AP-3,2,0,33,0,0.352941176
NFI/CTF,2,0,33,0,0.352941176
GR-alpha,2,0,33,0,0.352941176
HNF-3alpha,2,0,33,0,0.352941176
CREMtau,2,0,32,1,0.374331551
CREMtaualpha,2,0,32,1,0.374331551
CREMtau1,2,0,32,1,0.374331551
CREMtau2,2,0,32,1,0.374331551
myogenin,2,0,32,1,0.374331551
Pax-6,2,0,33,0,0.352941176
COE1,2,0,32,1,0.374331551
POU1F1b,2,0,33,0,0.352941176
POU1F1c,2,0,33,0,0.352941176
Nkx6-2,2,0,33,0,0.352941176
HOXD9,2,0,32,1,0.374331551
HOXD10,2,0,32,1,0.374331551
NF-AT4,2,0,33,0,0.352941176
SGF-3,2,0,31,2,0.397727273
HOXA4,2,0,33,0,0.352941176
HNF-4alpha1,2,0,33,0,0.352941176
POU2F2(Oct-2.1),2,0,33,0,0.352941176
Tll,2,0,33,0,0.352941176
Oct-B1,2,0,29,4,0.451612903
POU2F2B,2,0,29,4,0.451612903
POU2F1a,2,0,31,2,0.397727273
