gene,pvalue,padj,logFC
LOC101893504,0.967236457,0.999855404,6.96E-08
LOC101887261,0.981080184,0.999973094,7.94E-06
LOC101887540,0.370812999,0.99569125,9.99E-07
LOC101887709,0.235029352,0.99569125,1.84E-06
LOC101887872,0.713995915,0.99569125,7.24E-07
LOC101888043,0.356437509,0.99569125,1.19E-06
LOC105261620,0.223072608,0.99569125,-0.000127985
LOC101888225,0.164810476,0.99569125,3.86E-06
LOC105261775,0.205225216,0.99569125,1.82E-07
LOC101888392,0.467570283,0.99569125,2.40E-06
LOC101888800,0.232350973,0.99569125,4.93E-06
LOC101889098,0.420262268,0.99569125,4.81E-06
LOC101889449,0.87352319,0.997757351,-0.000144501
LOC101889275,0.258480798,0.99569125,-3.05E-06
LOC101889730,0.457234777,0.99569125,2.98E-06
LOC101889900,0.274939141,0.99569125,-8.54E-06
LOC101893671,0.510860923,0.99569125,-8.08E-07
LOC101893836,0.017855674,0.99569125,-7.71E-06
LOC101894009,0.919580508,0.999855404,-2.41E-06
LOC101890067,0.995163381,0.999973094,-5.31E-07
LOC101894185,0.300028504,0.99569125,1.43E-05
LOC101890226,0.095312101,0.99569125,-3.17E-06
LOC101890517,0.996327391,0.999973094,2.19E-08
LOC101890689,0.165371625,0.99569125,-4.09E-06
LOC101890862,0.077150997,0.99569125,-3.24E-06
LOC101891383,0.707468602,0.99569125,-2.27E-06
LOC101891561,0.919036469,0.999855404,-7.31E-07
LOC101892023,0.337028568,0.99569125,-2.89E-06
LOC101891733,0.931328827,0.999855404,3.00E-07
LOCNULL,0.496310011,0.99569125,5.35E-06
LOC101892196,0.240779854,0.99569125,-3.08E-06
LOC101892705,0.662270428,0.99569125,-2.98E-06
LOC101894838,0.318148808,0.99569125,1.35E-06
LOC101895692,0.911950215,0.99967947,1.41E-07
LOC101893170,0.481617772,0.99569125,3.47E-06
LOC101892991,0.779987812,0.99569125,1.19E-06
LOC101896906,0.906453542,0.998681357,1.34E-07
LOC101897077,0.746042933,0.99569125,-7.39E-07
LOC101897256,0.482236558,0.99569125,0.000198906
LOC101897663,0.265086937,0.99569125,5.06E-06
LOC101897944,0.448007051,0.99569125,2.78E-06
LOC101893618,0.296670486,0.99569125,-1.10E-06
LOC101898111,0.498927314,0.99569125,6.79E-06
LOC101898806,0.12689909,0.99569125,2.79E-06
LOC101898981,0.63514858,0.99569125,-3.17E-06
LOC101899611,0.254584843,0.99569125,6.17E-06
LOC101899776,0.575159631,0.99569125,2.21E-06
LOC101899949,0.060980961,0.99569125,-1.20E-05
LOC101900121,0.287896137,0.99569125,4.44E-06
LOC101900293,0.975887,0.999973094,2.80E-07
LOC101893785,0.632956986,0.99569125,-3.51E-07
LOC101893958,0.188396377,0.99569125,6.92E-06
LOC101900457,0.890637345,0.998349638,5.28E-07
LOC105261793,0.732678468,0.99569125,-1.78E-07
LOC101894131,0.893566367,0.99850759,-4.68E-07
LOC101900764,0.487659634,0.99569125,-2.41E-06
LOC101900941,0.140749838,0.99569125,6.97E-06
LOC101894302,0.287180203,0.99569125,9.11E-07
LOC101894467,0.620114067,0.99569125,3.23E-06
LOC101901120,0.177378862,0.99569125,-2.50E-06
LOC101901286,0.454727535,0.99569125,3.45E-06
LOC101901446,0.841253472,0.99569125,-1.29E-06
LOC101901726,0.447623633,0.99569125,4.19E-06
LOC101887262,0.580493659,0.99569125,6.10E-06
LOC101894788,0.778292408,0.99569125,-8.15E-07
LOC101894955,0.583946281,0.99569125,-5.60E-07
LOC101887825,0.646974296,0.99569125,-2.30E-05
LOC101887655,0.261075855,0.99569125,3.52E-06
LOC101895115,0.945169856,0.999855404,3.49E-07
LOC101888226,0.579612008,0.99569125,-3.78E-06
LOC101895809,0.229818968,0.99569125,-3.91E-06
LOC101888393,0.533008862,0.99569125,-1.58E-06
LOC101888560,0.644935762,0.99569125,-7.29E-06
LOC101895984,0.624314507,0.99569125,-5.51E-07
LOC101888739,0.122238657,0.99569125,6.27E-06
LOC101889276,0.58984559,0.99569125,-4.95E-06
LOC101889099,0.770987994,0.99569125,8.65E-06
LOC101888918,0.805759555,0.99569125,6.55E-07
LOC101889450,0.733377376,0.99569125,-1.00E-06
LOC101889731,0.583796341,0.99569125,2.86E-06
LOC101890121,0.958829894,0.999855404,1.27E-07
LOC101896144,0.806647546,0.99569125,-5.63E-07
