AMPs,AMP class,Lysozymes
LOC101898352  ,Stomoxyn,LOC101888240
LOC101887613,Attacin,LOC101888410
LOC101889508Ê,Attacin,LOC101888577
LOC101896914Ê,Attacin,LOC101888599
LOC105262584Ê,Attacin,LOC101888733
LOC101889957Ê,Attacin,LOC101888753
LOC101887777Ê,Attacin,LOC101888775
LOC109614156Ê,Attacin,LOC101889048
LOC105262420,Attacin,LOC101889226
LOC105261741,Glypep,LOC101892140
LOC109612355,Glypep,LOC101892191
LOC101894491,Glypep,LOC101892478
LOC105261739,Glypep,LOC101892833
LOC101893804,Glypep,LOC101892974
LOC101894327,Glypep,LOC101893082
LOC101897067Ê,Diptericin,LOC101893151
LOC101896897,Diptericin,LOC101893259
LOC101893852Ê,Sarcotoxin,LOC101893425
LOC101893688Ê,Sarcotoxin,LOC101893428
LOC101893350Ê,Sarcotoxin,LOC101893594
LOC101893190,Sarcotoxin,LOC101894169
LOC101901181,Cecropin,LOC101894601
LOC105261417,Cecropin,LOC101894859
LOC109613656,Cecropin,LOC101895951
LOC105262171,Cecropin,LOC101897516
LOC101889469,Cecropin,LOC101899548
LOC101888936,Cecropin,LOC101899727
LOC101889116,Cecropin,LOC101899931
LOC101889972,Cecropin,LOC101900617
LOC101901352,Cecropin,LOC101900738
LOC101889801,Cecropin,LOC101901759
LOC101889632,Cecropin,LOC105261500
LOC101888757,Cecropin,LOC105261501
LOC101889296,Cecropin,LOC105261502
LOC101887540,Defensin,LOC105262555
LOC105261620,Defensin,
LOC101888225,Defensin,
LOC101888043,Defensin,
LOC105261733,Defensin,
LOC101887872,Defensin,
LOC105261775,Defensin,
LOC101887709,Defensin,
NA1,Defensin,
NA2,Defensin,
NA3,Defensin,
NA4,Defensin,
