,Gene name,HMM.class,class,D. melanogaster symbol,D..melanogaster homolog Fbgn
1,LOC101887282,TSF,effector,Tsf2,FBgn0036299
2,LOC101895070,TSF,effector,Tsf1,FBgn0022355
3,LOC101887461,TSF,effector,Tsf3,FBgn0034094
4,LOC101892606,TSF,effector,Tsf1,FBgn0022355
5,LOC101892778,TSF,effector,Tsf1,FBgn0022355
6,LOC101896218,NA,effector,ple,FBgn0005626
7,LOC101889119,NA,effector,yellow-f;yellow-f2,"FBgn0038105,FBgn0041710"
8,LOC101887216,PPO,effector,Lsp1_,FBgn0002564
9,LOC101887497,PPO,effector,Lsp1_,FBgn0002564
10,LOC101887891,PPO,effector,Lsp1_,FBgn0002564
11,LOC101890876,PPO,effector,proPO45;proPO59,"FBgn0261363,FBgn0033367"
12,LOC101892543,PPO,effector,Lsp2,FBgn0002565
13,LOC101892715,PPO,effector,Lsp2,FBgn0002565
14,LOC101892890,PPO,effector,Lsp2,FBgn0002565
15,LOC101895449,PPO,effector,Fbp1,FBgn0000639
16,LOC101899803,PPO,effector,Lsp1_,FBgn0002564
17,LOC101901680,PPO,effector,Lsp1_,FBgn0002564
18,LOC101888507,PPO,effector,Fbp1,FBgn0000639
19,LOC101891177,PPO,effector,Lsp1_;Lsp1_,"FBgn0002562,FBgn0002563"
20,LOC101892591,PPO,effector,Fbp1,FBgn0000639
21,LOC101895802,PPO,effector,Fbp1,FBgn0000639
22,LOC101895929,PPO,effector,proPO-A1,FBgn0261362
23,LOC101897997,PPO,effector,proPO45;proPO59,"FBgn0261363,FBgn0033367"
24,LOC101900449,PPO,effector,proPO-A1,FBgn0261362
25,LOC101891047,PPO,effector,proPO45;proPO59,"FBgn0261363,FBgn0033367"
26,LOC101893407,PPO,effector,Lsp1_;Lsp1_,"FBgn0002562,FBgn0002563"
27,LOC101900426,PPO,effector,Lsp1_,FBgn0002564
28,LOC101900602,PPO,effector,Lsp1_,FBgn0002564
29,LOC101898456,HPX,effector,Duox,FBgn0031464
30,LOC101890924,NA,effector,AGO2,FBgn0087035
31,LOC101892105,NA,effector,AGO2,FBgn0087035
32,LOC101895569,NA,effector,Ars2,FBgn0033062
33,LOC101888112,NA,effector,Cbp20,FBgn0022943
34,LOC101898506,NA,effector,Cbp80,FBgn0022942
35,LOC101900970,CLIPB,effector,CG11313,"FBgn0039759,FBgn0039798"
36,LOC101888733,NA,effector,CG14823,FBgn0035734
37,LOC101888935,NA,effector,CG15293,FBgn0028526
38,LOC101897516,NA,effector,CG6421;CG6426,"FBgn0034162,FBgn0025827"
39,LOC101889093,NA,effector,CG6429;CG6435,"FBgn0046999,FBgn0034165"
40,LOC101893656,NA,effector,Dcr-2,FBgn0034246
41,LOC101900311,NA,effector,Ddc,FBgn0000422
42,LOC101900136,NA,effector,Ddc,FBgn0000422
43,LOC101894491,NA,effector,edin,FBgn0052185
44,LOC101893804,NA,effector,edin,FBgn0052185
45,LOC101894327,NA,effector,edin,FBgn0052185
46,PASA1_gene_34,NA,effector,edin,FBgn0052185
47,LOC101901737,NA,effector,fon,FBgn0032773
48,LOC101894482,NA,effector,Galphaq,FBgn0004435
49,LOC101888148,NA,effector,Hml,FBgn0029167
50,LOC101887224,NA,effector,Listericin,FBgn0033593
51,LOC101895051,NA,effector,Listericin,FBgn0033593
52,LOC101895224,NA,effector,Listericin,FBgn0033593
53,LOC101895398,NA,effector,Listericin,FBgn0033593
54,LOC101900180,CLIPB,effector,MP1,FBgn0027930
55,LOC101899369,NA,effector,Mt2,FBgn0028707
56,LOC101890926,NA,effector,norpA,FBgn0262738
57,LOC101901197,NA,effector,Nos,FBgn0011676
58,LOC101891936,NA,effector,Nos,FBgn0011676
59,LOC101892962,NA,effector,r2d2,FBgn0031951
60,LOC101894014,CLIPB,effector,Sp7,FBgn0037515
61,LOC101898313,NA,effector,Tg,FBgn0031975
62,LOC101894989,NA,effector,Tig,FBgn0011722
63,LOC101896299,NA,effector,Vago,FBgn0030262
64,LOC101893184,PGRP,effector,PGRP-SB1,FBgn0043578
65,LOC105261546 (MDAP-2),,,,
